id,deck,subdeck,en,es,tr
num_LtAUG3KwGy1F,Trio,Numbers 101,"sixty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sixty#English)","sesenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sesenta#Spanish)",altmış
num_ReLJjO08xPkf,Trio,Numbers 101,"seventy

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seventy#English)","setenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/setenta#Spanish)",yetmiş
num_d91E1_gy5KBZ,Trio,Numbers 101,"eighty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eighty#English)","ochenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ochenta#Spanish)",seksen
num__JnoiKH3TCPm,Trio,Numbers 101,"ninety

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ninety#English)","noventa

numeral

[Wiktionary](https://en.wiktionary.org/wiki/noventa#Spanish)",doksan
num_1IhFzgIYSK8g,Trio,Numbers 101,"ninety-nine

numeral","noventa y nueve

numeral",doksan dokuz
num_2Uur3fNxSb3J,Trio,Numbers 101,"one hundred

numeral","cien, ciento

numeral
*cien* for exactly 100; *ciento* in 101–199

[Wiktionary](https://en.wiktionary.org/wiki/cien#Spanish)",yüz
num_Q1hT0XrbzGEh,Trio,Numbers 101,"number

noun

[Wiktionary](https://en.wiktionary.org/wiki/number#English)","el número

noun

[Wiktionary](https://en.wiktionary.org/wiki/número#Spanish)",sayı
num__RrV0H0lDi1B,Trio,Numbers 101,"half

noun

[Wiktionary](https://en.wiktionary.org/wiki/half#English)","la mitad

noun

[Wiktionary](https://en.wiktionary.org/wiki/mitad#Spanish)",yarım
num_bwHCAnJcAfNn,Trio,Numbers 101,"dozen

noun

[Wiktionary](https://en.wiktionary.org/wiki/dozen#English)","la docena

noun

[Wiktionary](https://en.wiktionary.org/wiki/docena#Spanish)",düzine
num_jSmKxQm0MLE1,Trio,Numbers 101,"pair

noun

[Wiktionary](https://en.wiktionary.org/wiki/pair#English)","el par

noun

[Wiktionary](https://en.wiktionary.org/wiki/par#Spanish)",çift
num_qgsLzjJofJ9K,Trio,Numbers 101,"even

adjective
divisible by two

[Wiktionary](https://en.wiktionary.org/wiki/even#English)","par

adjective

[Wiktionary](https://en.wiktionary.org/wiki/par#Spanish)",çift
num_0FwstTsuB7K8,Trio,Numbers 101,"odd

adjective
not divisible by two

[Wiktionary](https://en.wiktionary.org/wiki/odd#English)","impar

adjective

[Wiktionary](https://en.wiktionary.org/wiki/impar#Spanish)",tek
