Question,Content,Tags,id
next week *(phrase)*,"la semana que viene / la próxima semana

gelecek hafta",trio-lingua calendar phrase,cal_mWbssS4mvKAF
last month *(phrase)*,"el mes pasado

geçen ay",trio-lingua calendar phrase,cal_W1YY3bcJ_O25
this month *(phrase)*,"este mes

bu ay",trio-lingua calendar phrase,cal_CswDP1iQ2gZh
next month *(phrase)*,"el mes que viene / el próximo mes

gelecek ay",trio-lingua calendar phrase,cal_nx0eaeLy8qaP
last year *(phrase)*,"el año pasado

geçen yıl",trio-lingua calendar phrase,cal_7UoDF3BU2UEz
this year *(phrase)*,"este año

bu yıl",trio-lingua calendar phrase,cal_AfcquyjnfDIZ
next year *(phrase)*,"el año que viene / el próximo año

gelecek yıl",trio-lingua calendar phrase,cal_2OjUxj9cHu15
country *(noun)*,"el país

ülke",trio-lingua countries noun term general,cou_IjsrgJXjwi1y
nationality *(noun)*,"la nacionalidad

uyruk / milliyet",trio-lingua countries noun term general,cou_S7RCxafFsNE9
language *(noun)*,"el idioma / la lengua

dil

*el idioma is masculine*",trio-lingua countries noun term general,cou_cmHIlaKMGxxJ
Spain *(noun)*,"España

İspanya",trio-lingua countries noun term,cou_WHbPbt5G0Doc
Mexico *(noun)*,"México

Meksika",trio-lingua countries noun term,cou_zY_iJtLTQjBi
Argentina *(noun)*,"Argentina

Arjantin",trio-lingua countries noun term,cou_iDMDMXMpBUSy
Colombia *(noun)*,"Colombia

Kolombiya",trio-lingua countries noun term,cou_sJd4lLrEYCNc
Peru *(noun)*,"Perú

Peru",trio-lingua countries noun term,cou_HZG-Q_khmJx6
Chile *(noun)*,"Chile

Şili",trio-lingua countries noun term,cou_fVT5sdvK4-MY
Turkey *(noun)*,"Turquía

Türkiye",trio-lingua countries noun term,cou_0wRtSB3pyrNR
United States *(noun)*,"Estados Unidos

Amerika Birleşik Devletleri",trio-lingua countries noun term,cou_OCxNEi-40tdT
England *(noun)*,"Inglaterra

İngiltere",trio-lingua countries noun term,cou_Fxl-m9Z3WHPR
France *(noun)*,"Francia

Fransa",trio-lingua countries noun term,cou_CcMmi0P-uNPi
Germany *(noun)*,"Alemania

Almanya",trio-lingua countries noun term,cou_HpMkqRBnwdlg
Italy *(noun)*,"Italia

İtalya",trio-lingua countries noun term,cou_RXlzilK8ZGkJ
Portugal *(noun)*,"Portugal

Portekiz",trio-lingua countries noun term,cou_HX5SnP3Udm-C
Brazil *(noun)*,"Brasil

Brezilya",trio-lingua countries noun term,cou_2ChY0oOx7kAE
Greece *(noun)*,"Grecia

Yunanistan",trio-lingua countries noun term,cou_iMGpMMeAws8L
Russia *(noun)*,"Rusia

Rusya",trio-lingua countries noun term,cou_XGSmDvrUMftK
China *(noun)*,"China

Çin",trio-lingua countries noun term,cou_i__Y7gKri_RS
Japan *(noun)*,"Japón

Japonya",trio-lingua countries noun term,cou_xsOHimXZhS6U
Spanish (person) *(adjective)*,"español / española

İspanyol

*nationalities are lowercase in Spanish*",trio-lingua countries adjective term nationalities,cou_dk4VxRHRBw6j
Mexican *(adjective)*,"mexicano / mexicana

Meksikalı",trio-lingua countries adjective term nationalities,cou_TFEM31h6JXBX
Argentinian *(adjective)*,"argentino / argentina

Arjantinli",trio-lingua countries adjective term nationalities,cou_aSgOE30c5bto
Colombian *(adjective)*,"colombiano / colombiana

Kolombiyalı",trio-lingua countries adjective term nationalities,cou_NQReA60qpMCn
Peruvian *(adjective)*,"peruano / peruana

Perulu",trio-lingua countries adjective term nationalities,cou_1mMVgBHx8sof
Chilean *(adjective)*,"chileno / chilena

Şilili",trio-lingua countries adjective term nationalities,cou_gtSBi7tu5uHz
Turkish (person) *(adjective)*,"turco / turca

Türk",trio-lingua countries adjective term nationalities,cou_BxQU2rvKEp-W
American (US) *(adjective)*,"estadounidense

Amerikalı

*same form for both genders*",trio-lingua countries adjective term nationalities,cou_3mtaCQ6_M9qN
English (person) *(adjective)*,"inglés / inglesa

İngiliz",trio-lingua countries adjective term nationalities,cou_pKp1JqhzWBEP
French (person) *(adjective)*,"francés / francesa

Fransız",trio-lingua countries adjective term nationalities,cou_y7HvbbPo-PU5
German (person) *(adjective)*,"alemán / alemana

Alman",trio-lingua countries adjective term nationalities,cou_lQru7m5GJztM
Italian (person) *(adjective)*,"italiano / italiana

İtalyan",trio-lingua countries adjective term nationalities,cou_C05nd8q_3WuT
Portuguese (person) *(adjective)*,"portugués / portuguesa

Portekizli",trio-lingua countries adjective term nationalities,cou_kgXyIDLc-eUJ
Brazilian *(adjective)*,"brasileño / brasileña

Brezilyalı",trio-lingua countries adjective term nationalities,cou_lgGHNMZefvHe
Greek (person) *(adjective)*,"griego / griega

Yunan",trio-lingua countries adjective term nationalities,cou_5ZUeqsSFLkHq
Russian (person) *(adjective)*,"ruso / rusa

Rus",trio-lingua countries adjective term nationalities,cou_HJ1s9zkcSr2y
Chinese (person) *(adjective)*,"chino / china

Çinli",trio-lingua countries adjective term nationalities,cou_6fyQM-1ji50M
Japanese (person) *(adjective)*,"japonés / japonesa

Japon",trio-lingua countries adjective term nationalities,cou__-Fa8Dx1ATU7
Spanish (language) *(noun)*,"el español / el castellano

İspanyolca",trio-lingua countries noun term languages,cou_2DMcmUU3uvUf
English (language) *(noun)*,"el inglés

İngilizce",trio-lingua countries noun term languages,cou_eC9C4AwZAotQ
Turkish (language) *(noun)*,"el turco

Türkçe",trio-lingua countries noun term languages,cou_5OhAR8IIK8hw
French (language) *(noun)*,"el francés

Fransızca",trio-lingua countries noun term languages,cou_7Z2xl_o0K6eD
German (language) *(noun)*,"el alemán

Almanca",trio-lingua countries noun term languages,cou_tPaVo4K3e3se
Italian (language) *(noun)*,"el italiano

İtalyanca",trio-lingua countries noun term languages,cou_pJLdO181Ea9w
Portuguese (language) *(noun)*,"el portugués

Portekizce",trio-lingua countries noun term languages,cou_0CNSnmR0XwTu
Arabic (language) *(noun)*,"el árabe

Arapça",trio-lingua countries noun term languages,cou_IylYPfVAUjWT
Chinese (language) *(noun)*,"el chino

Çince",trio-lingua countries noun term languages,cou_dXviJrByow-A
Japanese (language) *(noun)*,"el japonés

Japonca",trio-lingua countries noun term languages,cou_cBFWjR4Ox8Hu
Russian (language) *(noun)*,"el ruso

Rusça",trio-lingua countries noun term languages,cou_Ik05N5W2Q4kX
Greek (language) *(noun)*,"el griego

Yunanca",trio-lingua countries noun term languages,cou_V3ZE42e9QFr2
I am from Turkey. *(phrase)*,"Soy de Turquía.

Türkiye'denim.",trio-lingua countries phrase phrases,cou_ek_ccHJ7hO4o
I speak a little Spanish. *(phrase)*,"Hablo un poco de español.

Biraz İspanyolca konuşuyorum.",trio-lingua countries phrase phrases,cou_NmDvZ8NL5nQP
What languages do you speak? *(phrase)*,"¿Qué idiomas hablas?

Hangi dilleri konuşuyorsun?",trio-lingua countries phrase phrases,cou_5CiF0ugSbN5s
color *(noun)*,"el color

renk",trio-lingua descriptions noun term colors,des_AAOFxMDqFPmz
red *(adjective)*,"rojo / roja

kırmızı",trio-lingua descriptions adjective term colors,des_xwiGTcR_mGqQ
blue *(adjective)*,"azul

mavi

*invariable in gender*",trio-lingua descriptions adjective term colors,des_ODsglQjUYrMb
green *(adjective)*,"verde

yeşil

*invariable in gender*",trio-lingua descriptions adjective term colors,des__G55h9ink1va
yellow *(adjective)*,"amarillo / amarilla

sarı",trio-lingua descriptions adjective term colors,des_axKUo_ukSCXY
black *(adjective)*,"negro / negra

siyah",trio-lingua descriptions adjective term colors,des_-7GHobLDEBPv
white *(adjective)*,"blanco / blanca

beyaz",trio-lingua descriptions adjective term colors,des_h-uOJyYyEOhh
orange *(adjective)*,"naranja

turuncu

*invariable; same word as the fruit*",trio-lingua descriptions adjective term colors,des_IDlPWW87aMNh
purple *(adjective)*,"morado / morada

mor",trio-lingua descriptions adjective term colors,des_uamSkp-qkOjc
pink *(adjective)*,"rosa

pembe

*invariable*",trio-lingua descriptions adjective term colors,des_p3vbqlQe2LkS
brown *(adjective)*,"marrón

kahverengi",trio-lingua descriptions adjective term colors,des_fedyijSNTw5t
gray *(adjective)*,"gris

gri",trio-lingua descriptions adjective term colors,des_oTms3tCg5QQR
light (color) *(adjective)*,"claro / clara

açık (renk)

*e.g. azul claro*",trio-lingua descriptions adjective term colors,des_7I2d_vi_jjMG
dark (color) *(adjective)*,"oscuro / oscura

koyu (renk)

*e.g. azul oscuro*",trio-lingua descriptions adjective term colors,des_wtUPjfeCHwIO
big *(adjective)*,"grande

büyük

*gran before a singular noun*",trio-lingua descriptions adjective term adjectives,des_P8ZAzAL2i-Uo
small *(adjective)*,"pequeño / pequeña

küçük",trio-lingua descriptions adjective term adjectives,des_T1CF-ETkxmO9
tall *(adjective)*,"alto / alta

uzun (boy)",trio-lingua descriptions adjective term adjectives,des_p_VfIhd5NLW_
short (height) *(adjective)*,"bajo / baja

kısa (boy)",trio-lingua descriptions adjective term adjectives,des_jqbFaln6s2Zj
long *(adjective)*,"largo / larga

uzun",trio-lingua descriptions adjective term adjectives,des_jbVxmT8ZNy9C
short (length) *(adjective)*,"corto / corta

kısa",trio-lingua descriptions adjective term adjectives,des_TkZuKZOSReNG
new *(adjective)*,"nuevo / nueva

yeni",trio-lingua descriptions adjective term adjectives,des_iSSbwXx6F4he
old (thing) *(adjective)*,"viejo / vieja

eski",trio-lingua descriptions adjective term adjectives,des_wIRYWnRqV2mU
young *(adjective)*,"joven

genç",trio-lingua descriptions adjective term adjectives,des_MCMcIPQqG814
good *(adjective)*,"bueno / buena

iyi

*buen before a masc. singular noun*",trio-lingua descriptions adjective term adjectives,des_WLrfdYOcYXVg
bad *(adjective)*,"malo / mala

kötü

*mal before a masc. singular noun*",trio-lingua descriptions adjective term adjectives,des_HoyQA0wnZQnS
hot *(adjective)*,"caliente

sıcak",trio-lingua descriptions adjective term adjectives,des_efTNDv4h6A7i
cold *(adjective)*,"frío / fría

soğuk",trio-lingua descriptions adjective term adjectives,des_FlK8rX4eIYmv
fast *(adjective)*,"rápido / rápida

hızlı",trio-lingua descriptions adjective term adjectives,des_1Vu0WFhuDHVD
slow *(adjective)*,"lento / lenta

yavaş",trio-lingua descriptions adjective term adjectives,des__dtfw6yEetyo
easy *(adjective)*,"fácil

kolay",trio-lingua descriptions adjective term adjectives,des_1e99Cl3np8zF
difficult *(adjective)*,"difícil

zor",trio-lingua descriptions adjective term adjectives,des__ZSKz0AMfsD8
happy *(adjective)*,"feliz / contento

mutlu

*use estar with contento*",trio-lingua descriptions adjective term adjectives,des_t5AGkuYmZmPg
sad *(adjective)*,"triste

üzgün",trio-lingua descriptions adjective term adjectives,des_fYPWi1wrdEzz
beautiful *(adjective)*,"bonito / bonita

güzel",trio-lingua descriptions adjective term adjectives,des_T2IkUT1-mvbZ
ugly *(adjective)*,"feo / fea

çirkin",trio-lingua descriptions adjective term adjectives,des_czHZhodOECAC
expensive *(adjective)*,"caro / cara

pahalı",trio-lingua descriptions adjective term adjectives,des_ts8qlomJuNN2
cheap *(adjective)*,"barato / barata

ucuz",trio-lingua descriptions adjective term adjectives,des_-1v3yONrncRj
open *(adjective)*,"abierto / abierta

açık",trio-lingua descriptions adjective term adjectives,des_lO6reb1USQql
closed *(adjective)*,"cerrado / cerrada

kapalı",trio-lingua descriptions adjective term adjectives,des_DENlz8CWh9o_
full *(adjective)*,"lleno / llena

dolu",trio-lingua descriptions adjective term adjectives,des_aDMaDDrCU8Rp
empty *(adjective)*,"vacío / vacía

boş",trio-lingua descriptions adjective term adjectives,des_seV1PWHC2ose
clean *(adjective)*,"limpio / limpia

temiz",trio-lingua descriptions adjective term adjectives,des_0QYVrHyo_mVK
dirty *(adjective)*,"sucio / sucia

kirli",trio-lingua descriptions adjective term adjectives,des_b3Z_RANAKKR4
strong *(adjective)*,"fuerte

güçlü",trio-lingua descriptions adjective term adjectives,des_NGwALn_Hd--b
weak *(adjective)*,"débil

zayıf",trio-lingua descriptions adjective term adjectives,des_docys0AHVGCj
a lot / many *(adjective)*,"mucho / mucha

çok",trio-lingua descriptions adjective term adjectives,des_fVfmiGmU7Z2B
a little / few *(adjective)*,"poco / poca

az",trio-lingua descriptions adjective term adjectives,des_LhwZUCHG4y9o
food *(noun)*,"la comida

yemek",trio-lingua food noun term meals,foo_MgxcMMG-bb-U
meal *(noun)*,"la comida

öğün",trio-lingua food noun term meals,foo_XPSMV0zKK7FG
breakfast *(noun)*,"el desayuno

kahvaltı",trio-lingua food noun term meals,foo_apwLzpwpVQM0
lunch *(noun)*,"el almuerzo / la comida

öğle yemeği",trio-lingua food noun term meals,foo_vfdCRzGsurQg
dinner *(noun)*,"la cena

akşam yemeği",trio-lingua food noun term meals,foo_KpqcXtAaXEgE
snack *(noun)*,"la merienda / el aperitivo

atıştırmalık",trio-lingua food noun term meals,foo_Oz2vBvEK4_cI
dessert *(noun)*,"el postre

tatlı",trio-lingua food noun term meals,foo_PKmReIWiFNHv
appetizer / tapas *(noun)*,"la tapa / el entrante

meze / başlangıç",trio-lingua food noun term meals,foo_HNv-K3sHOSEX
bread *(noun)*,"el pan

ekmek",trio-lingua food noun term meals,foo_l4g0EucQtM_i
soup *(noun)*,"la sopa

çorba",trio-lingua food noun term meals,foo_lxFKyHWN2vKB
salad *(noun)*,"la ensalada

salata",trio-lingua food noun term meals,foo_iCSIEsAv4O0m
meat *(noun)*,"la carne

et",trio-lingua food noun term meals,foo_VOvCLV06Zkv5
chicken (meat) *(noun)*,"el pollo

tavuk (eti)",trio-lingua food noun term meals,foo_ueLTKwwwUFAE
fish (food) *(noun)*,"el pescado

balık (yemek)

*pescado = caught/eaten; pez = alive*",trio-lingua food noun term meals,foo_Gx9H2YtVaar9
rice *(noun)*,"el arroz

pirinç / pilav",trio-lingua food noun term meals,foo_ubiFWOK9IzH4
egg *(noun)*,"el huevo

yumurta",trio-lingua food noun term meals,foo_yx8hkrq3XFDR
cheese *(noun)*,"el queso

peynir",trio-lingua food noun term meals,foo_BIgMQtLci_4v
sugar *(noun)*,"el azúcar

şeker",trio-lingua food noun term meals,foo_4WgogeDA08WA
salt *(noun)*,"la sal

tuz",trio-lingua food noun term meals,foo_YRd2IQW2zZpZ
drink *(noun)*,"la bebida

içecek",trio-lingua food noun term drinks,foo_reNIdVlCt7MN
water *(noun)*,"el agua

su

*feminine but takes el in singular*",trio-lingua food noun term drinks,foo_QmX7Kmrzi0kO
sparkling water *(noun)*,"el agua con gas

maden suyu / gazlı su",trio-lingua food noun term drinks,foo_2xj8Tfh3CIZ9
coffee *(noun)*,"el café

kahve",trio-lingua food noun term drinks,foo_eoddFRL87tFC
tea *(noun)*,"el té

çay",trio-lingua food noun term drinks,foo_Tz1VjSjHVY1T
milk *(noun)*,"la leche

süt",trio-lingua food noun term drinks,foo_uN694websNqV
juice *(noun)*,"el zumo / el jugo

meyve suyu

*zumo in Spain, jugo in Latin America*",trio-lingua food noun term drinks,foo_h43FxpmazJ2F
wine *(noun)*,"el vino

şarap",trio-lingua food noun term drinks,foo_K47Cyn_scWiZ
beer *(noun)*,"la cerveza

bira",trio-lingua food noun term drinks,foo_D3CL35XNdnES
soft drink *(noun)*,"el refresco

gazoz / meşrubat",trio-lingua food noun term drinks,foo_Iq5svLFqQe6m
restaurant *(noun)*,"el restaurante

restoran",trio-lingua food noun term restaurant,foo_H4Xs6Lxbre9e
cafe *(noun)*,"la cafetería / el café

kafe",trio-lingua food noun term restaurant,foo_tInC40flqGAb
bar *(noun)*,"el bar

bar",trio-lingua food noun term restaurant,foo_L6aIzDZGE8zZ
menu *(noun)*,"la carta / el menú

menü

*la carta = list of dishes; el menú = set meal*",trio-lingua food noun term restaurant,foo_p8YaN80Ih4hJ
waiter / waitress *(noun)*,"el camarero / la camarera

garson",trio-lingua food noun term restaurant,foo_E07trLBbaf35
table *(noun)*,"la mesa

masa",trio-lingua food noun term restaurant,foo_4FIyDXHbRmx0
chair *(noun)*,"la silla

sandalye",trio-lingua food noun term restaurant,foo_eVf4G9KlntRj
bill / check *(noun)*,"la cuenta

hesap",trio-lingua food noun term restaurant,foo_MARzgYr_Qg_5
tip *(noun)*,"la propina

bahşiş",trio-lingua food noun term restaurant,foo_JBqqCmglTNNn
reservation *(noun)*,"la reserva

rezervasyon",trio-lingua food noun term restaurant,foo_8nzfem4uhw07
dish *(noun)*,"el plato

yemek / tabak",trio-lingua food noun term restaurant,foo_0W4tJenbjjmz
glass *(noun)*,"el vaso / la copa

bardak / kadeh

*copa for wine*",trio-lingua food noun term restaurant,foo_MB9wU6agVHWi
cup *(noun)*,"la taza

fincan",trio-lingua food noun term restaurant,foo_a8acshb1i0-n
fork *(noun)*,"el tenedor

çatal",trio-lingua food noun term restaurant,foo_VFbaMLjpisXn
knife *(noun)*,"el cuchillo

bıçak",trio-lingua food noun term restaurant,foo_EzjbE-vnG0R6
spoon *(noun)*,"la cuchara

kaşık",trio-lingua food noun term restaurant,foo_zKnCMJpl0NG5
napkin *(noun)*,"la servilleta

peçete",trio-lingua food noun term restaurant,foo_vFSGHFeZUCDN
to eat *(verb)*,"comer

yemek (fiil)",trio-lingua food verb term ordering,foo_X37o2VuJ5WJm
to drink *(verb)*,"beber / tomar

içmek",trio-lingua food verb term ordering,foo_8995NvwB6PsL
to order *(verb)*,"pedir

sipariş vermek",trio-lingua food verb term ordering,foo_Vae8eawHliUV
to pay *(verb)*,"pagar

ödemek",trio-lingua food verb term ordering,foo_b-GBaHKx_fxI
I would like… *(phrase)*,"Quisiera… / Me gustaría…

…istiyorum (kibar)",trio-lingua food phrase ordering,foo_AXxgQiF_Qnka
"I want a coffee, please. *(phrase)*","Quiero un café, por favor.

Bir kahve istiyorum, lütfen.",trio-lingua food phrase ordering,foo_nokTtUON5H2K
"A table for two, please. *(phrase)*","Una mesa para dos, por favor.

İki kişilik bir masa, lütfen.",trio-lingua food phrase ordering,foo_NoMa1hjaVbY8
"The menu, please. *(phrase)*","La carta, por favor.

Menü, lütfen.",trio-lingua food phrase ordering,foo_N_3XarRMe7CW
What do you recommend? *(phrase)*,"¿Qué me recomienda?

Ne tavsiye edersiniz?",trio-lingua food phrase ordering,foo_TX5jTISK0IqG
"The bill, please. *(phrase)*","La cuenta, por favor.

Hesap, lütfen.",trio-lingua food phrase ordering,foo_oTrprb47wjeR
To go / takeaway *(phrase)*,"Para llevar

Paket / gitmek üzere",trio-lingua food phrase ordering,foo_TyPNVZkgcE4M
For here *(phrase)*,"Para tomar aquí

Burada içmek/yemek için",trio-lingua food phrase ordering,foo_PoNondNYQmuV
I am vegetarian. *(phrase)*,"Soy vegetariano / vegetariana.

Vejetaryenim.",trio-lingua food phrase ordering,foo_9tt7jwkpvJuo
I am allergic to… *(phrase)*,"Soy alérgico / alérgica a…

…alerjim var.",trio-lingua food phrase ordering,foo_mUEdZgux-Mmt
Enjoy your meal! *(phrase)*,"¡Buen provecho!

Afiyet olsun!",trio-lingua food phrase ordering,foo_PH3Bp2F6jSt-
Cheers! *(phrase)*,"¡Salud!

Şerefe!",trio-lingua food phrase ordering,foo_3-lMFcnGR4Hz
I'm hungry. *(phrase)*,"Tengo hambre.

Açım.

*literally: I have hunger*",trio-lingua food phrase ordering,foo_5zio4AbTC7ua
I'm thirsty. *(phrase)*,"Tengo sed.

Susadım.

*literally: I have thirst*",trio-lingua food phrase ordering,foo_hrGhEkE9dO_1
It's delicious. *(phrase)*,"Está delicioso / Está muy rico.

Çok lezzetli.",trio-lingua food phrase ordering,foo_4ctmNik96-xl
the (masculine singular) *(article)*,"el

belirli artikel (eril tekil)",trio-lingua grammar article term definite-articles,gra_5f42hdC2krBD
the (feminine singular) *(article)*,"la

belirli artikel (dişil tekil)",trio-lingua grammar article term definite-articles,gra_2OZEqsDKIrvE
the (masculine plural) *(article)*,"los

belirli artikel (eril çoğul)",trio-lingua grammar article term definite-articles,gra_HiUCazMwaAPM
the (feminine plural) *(article)*,"las

belirli artikel (dişil çoğul)",trio-lingua grammar article term definite-articles,gra_OD2mSp1BjkSo
a / an (masculine singular) *(article)*,"un

belirsiz artikel (eril tekil)",trio-lingua grammar article term indefinite-articles,gra_hOFWhHyjXW1d
a / an (feminine singular) *(article)*,"una

belirsiz artikel (dişil tekil)",trio-lingua grammar article term indefinite-articles,gra_NLb7lrDR8Qdr
some (masculine plural) *(article)*,"unos

belirsiz artikel (eril çoğul) / bazı",trio-lingua grammar article term indefinite-articles,gra_wf1KEvmzNXmY
some (feminine plural) *(article)*,"unas

belirsiz artikel (dişil çoğul) / bazı",trio-lingua grammar article term indefinite-articles,gra_IUaWYss1J5Tq
I *(pronoun)*,"yo

ben

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_JmE1KAZdpUSy
you (informal singular) *(pronoun)*,"tú

sen (tekil, samimi)

*subject pronoun; accent on ú*",trio-lingua grammar pronoun term pronouns,gra_UDhTTIRL2pIl
he *(pronoun)*,"él

o (erkek)

*subject pronoun; accent on é*",trio-lingua grammar pronoun term pronouns,gra_b2_lj1YkvjjM
she *(pronoun)*,"ella

o (kadın)

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_AD1yalrcidmp
you (formal singular) *(pronoun)*,"usted (ud.)

siz (tekil, resmi)

*subject pronoun; takes 3rd-person verbs*",trio-lingua grammar pronoun term pronouns,gra_EYTVjQuCIFzw
