id,deck,subdeck,en,es,tr
phr_uE-AI_Ta9xgr,trio-lingua,phrases_a,"What's your name?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/What's_your_name)","¿Cómo te llamas?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Cómo_te_llamas)",Adın ne?
phr_IirTE2_Zvgi_,trio-lingua,phrases_a,"My name is…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/My_name_is)","Me llamo…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/llamarse)",Adım…
phr_ODe5T5mHfbmV,trio-lingua,phrases_a,"Nice to meet you

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Nice_to_meet_you)","Mucho gusto

phrase
also *Encantado / Encantada*

[Wiktionary](https://en.wiktionary.org/wiki/Mucho_gusto)",Memnun oldum
phr_ofYjauO_SSBL,trio-lingua,phrases_a,"Where are you from?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Where_are_you_from)","¿De dónde eres?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/De_dónde_eres)",Nerelisin?
phr_LgYw_FGIYJbz,trio-lingua,phrases_a,"I am from…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_am_from)","Soy de…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/ser)",…'lıyım
phr_4c_uec7cxbNF,trio-lingua,phrases_a,"What do you do for a living?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/What_do_you_do_for_a_living)","¿A qué te dedicas?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/dedicarse)",Ne iş yapıyorsun?
phr_GquhxqkDC0-w,trio-lingua,phrases_a,"I work as…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_work_as)","Trabajo como…

phrase

[Wiktionary](https://en.wiktionary.org/wiki/trabajar)",… olarak çalışıyorum
phr_j1sWKP272B_v,trio-lingua,phrases_a,"Where do you work?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Where_do_you_work)","¿Dónde trabajas?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/trabajar)",Nerede çalışıyorsun?
phr_IwX2KIvmbyJs,trio-lingua,phrases_a,"What do you study?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/What_do_you_study)","¿Qué estudias?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/estudiar)",Ne okuyorsun?
phr_D7LrehhppMwh,trio-lingua,phrases_a,"How old are you?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/How_old_are_you)","¿Cuántos años tienes?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/año)",Kaç yaşındasın?
phr_LKSGbTIr6RAu,trio-lingua,phrases_a,"I am … years old.

phrase
literally: *I have … years*

[Wiktionary](https://en.wiktionary.org/wiki/I_am_years_old)","Tengo … años.

phrase

[Wiktionary](https://en.wiktionary.org/wiki/tener)",… yaşındayım.
phr_0yja4kehSjcx,trio-lingua,phrases_a,"Where do you live?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Where_do_you_live)","¿Dónde vives?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/vivir)",Nerede yaşıyorsun?
phr_NnGu7cTPJbkq,trio-lingua,phrases_a,"Who is he?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Who_is_he)","¿Quién es él?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/quién)",O kim?
phr_Zi-Oej3WOM-e,trio-lingua,phrases_a,"Are you married?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Are_you_married)","¿Estás casado, casada?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/casado)",Evli misin?
phr_Y7mLnIMcgWu3,trio-lingua,phrases_a,"I am single

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_am_single)","Estoy soltero, soltera

phrase

[Wiktionary](https://en.wiktionary.org/wiki/soltero)",Bekarım
phr_ClZaDcss4k4o,trio-lingua,phrases_a,"I don't understand

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_don't_understand)","No entiendo

phrase

[Wiktionary](https://en.wiktionary.org/wiki/entender)",Anlamıyorum
phr_W419M3-sjIuo,trio-lingua,phrases_a,"I don't know

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_don't_know)","No sé

phrase

[Wiktionary](https://en.wiktionary.org/wiki/saber)",Bilmiyorum
phr_diH2C_cqVuXg,trio-lingua,phrases_a,"Do you speak English?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Do_you_speak_English)","¿Hablas inglés?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/hablar)",İngilizce biliyor musun?
phr_xHoxc2JOwOjr,trio-lingua,phrases_a,"I speak a little Spanish

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_speak_a_little_Spanish)","Hablo un poco de español

phrase

[Wiktionary](https://en.wiktionary.org/wiki/hablar)",Biraz İspanyolca konuşuyorum
phr_oEqqeVv2TOaY,trio-lingua,phrases_a,"I'm learning Spanish

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I'm_learning_Spanish)","Aprendo español

phrase

[Wiktionary](https://en.wiktionary.org/wiki/aprender)",İspanyolca öğreniyorum
phr_v0aAYB3Llp51,trio-lingua,phrases_a,"What languages do you speak?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/What_languages_do_you_speak)","¿Qué idiomas hablas?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/idioma)",Hangi dilleri konuşuyorsun?
phr_uIEAv0pqisAV,trio-lingua,phrases_a,"Can you repeat, please?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Can_you_repeat,_please)","¿Puedes repetir, por favor?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/repetir)","Tekrar eder misin, lütfen?"
phr_xezq9aqDjFt2,trio-lingua,phrases_a,"What does … mean?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/What_does_mean)","¿Qué significa…?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/significar)",… ne demek?
phr_LgEQasaSt7q6,trio-lingua,phrases_a,"How do you say … in Spanish?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/How_do_you_say_in_Spanish)","¿Cómo se dice … en español?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/decir)",İspanyolca … nasıl denir?
phr_Gmmqe8VxHyU5,trio-lingua,phrases_a,"How much does it cost?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/How_much_does_it_cost)","¿Cuánto cuesta?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/costar)",Ne kadar?
phr_oFdxQs2ZHanH,trio-lingua,phrases_a,"Where is the bathroom?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Where_is_the_bathroom)","¿Dónde está el baño?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/baño)",Tuvalet nerede?
phr_f0AfAmxroegY,trio-lingua,phrases_a,"Where is…?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Where_is)","¿Dónde está…?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/dónde)",… nerede?
phr_yadDdogjB_bc,trio-lingua,phrases_a,"I am lost

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I_am_lost)","Estoy perdido, perdida

phrase

[Wiktionary](https://en.wiktionary.org/wiki/perdido)",Kayboldum
phr_GIS94duJAu32,trio-lingua,phrases_a,"Help!

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Help)","¡Socorro!, ¡Ayuda!

phrase

[Wiktionary](https://en.wiktionary.org/wiki/socorro)",İmdat!
phr_Ssvc5uUuKQcm,trio-lingua,phrases_a,"to the right

phrase

[Wiktionary](https://en.wiktionary.org/wiki/to_the_right)","a la derecha

phrase

[Wiktionary](https://en.wiktionary.org/wiki/derecha)",sağa / sağda
phr_kt1DdMGhEB4t,trio-lingua,phrases_a,"to the left

phrase

[Wiktionary](https://en.wiktionary.org/wiki/to_the_left)","a la izquierda

phrase

[Wiktionary](https://en.wiktionary.org/wiki/izquierda)",sola / solda
phr_QBBWbQLGFqyS,trio-lingua,phrases_a,"Do you want a drink?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Do_you_want_a_drink)","¿Quieres una bebida?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/querer)",Bir şey içmek ister misin?
phr_HlpMQ5Jt85ws,trio-lingua,phrases_a,"Shall we drink something?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Shall_we_drink_something)","¿Bebemos algo?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/beber)",Bir şey içelim mi?
