id,deck,subdeck,en,es
T78Id8YLLCJf,babbel,newcomer 306,I'll have a beer.,Yo tomo una cerveza.
0BRjDRcWWPfr,babbel,newcomer 306,Do you want a drink?,¿Quieres una bebida?
tR9GcLf2ykrH,babbel,newcomer 306,I'd prefer a lemonade.,Yo prefiero una limonada.
O6iE2b72e9zX,babbel,newcomer 306,I want a bottle of water.,Quiero una botella de agua.
fiQoDGE_MUtU,babbel,newcomer 306,some beers,unas cervezas
Oaalt_-4pfrw,babbel,newcomer 306,a glass of water,un vaso de agua
RVZnu6YkZbbJ,babbel,newcomer 306,Is that all?,¿Eso es todo?
Dbdqg3eW3UKo,babbel,newcomer 306,a glass of wine,una copa de vino
nLPmcu4kPp-A,babbel,newcomer 306,some pieces of cake,unos trozos de tarta
ZHeFPzhcARln,babbel,newcomer 306,a cup of tea,una taza de té
7uUKHlQJ7uWd,babbel,newcomer 306,three,tres
_12qGrD_GzSz,babbel,newcomer 306,one,uno
g4p3VsCdLfQH,babbel,newcomer 306,eight,ocho
eJPq2OZOl1iV,babbel,newcomer 306,ten,diez
nfsf54T_H3Q5,babbel,newcomer 306,six,seis
33iKSa5EH8m8,babbel,newcomer 306,two,dos
jHp858M1_NTY,babbel,newcomer 306,nine,nueve
xyLbQgoEM8wg,babbel,newcomer 306,four,cuatro
GovxgDH7dUlK,babbel,newcomer 306,five,cinco
ADa3uy0rRURx,babbel,newcomer 306,seven,siete
Ffi2PVtzuujE,babbel,newcomer 306,the sour orange juice,el zumo de naranja ácido
GVUlydXcv7sA,babbel,newcomer 306,the sweet chocolate cake,la tarta de chocolate dulce
gDlUPXmtI4kG,babbel,newcomer 306,the bitter beer,la cerveza amarga
Y-_jxBPhCo3T,babbel,newcomer 306,the sandwich,el bocadillo
o9_Lq3ZcG5D7,babbel,newcomer 306,to/on the left,a la izquierda
VxBLkIgwZn2E,babbel,newcomer 306,I am lost.,Estoy perdido.
9MYpxAAFCU8C,babbel,newcomer 306,to/on the right,a la derecha
K4mUwPdFMlB1,babbel,newcomer 306,straight,recto
i8lbBWsCh5BW,babbel,newcomer 306,the track,la vía
uJFU4hsHKyy-,babbel,newcomer 306,to the central station,a la estación central
aXn0ptx0u8fT,babbel,newcomer 306,to the airport,al aeropuerto
YEAKQ8Niv98e,babbel,newcomer 306,the train,el tren
B1EEZujNUWlN,babbel,newcomer 306,the ticket,el billete
e7vxadamakJ7,babbel,newcomer 306,the bus,el autobús
z6lJ6KEB5Hw0,babbel,newcomer 306,"nice, pretty, handsome",bonito
v0izBYdFeJ3L,babbel,newcomer 306,intelligent,inteligente
SRMQdPTveMd5,babbel,newcomer 306,sick,enfermo
2PimSMwLtVkU,babbel,newcomer 306,happy,feliz
9UbM17S2h5hg,babbel,newcomer 306,Valentina is sad.,Valentina está triste.
xe_T_pdFgHp7,babbel,newcomer 306,Are you from Buenos Aires?,¿Eres de Buenos Aires?
_LWJzhUBGJ7D,babbel,newcomer 306,Your friends are really tall!,¡Tus amigos son muy altos!
NK2uu-tZ3DaG,babbel,newcomer 306,The Alhambra is in Granada.,La Alhambra está en Granada.
Qgapt1UL_Run,babbel,newcomer 306,a little tired,un poco cansado
5SvivYYW51FF,babbel,newcomer 306,"How are you (sg., informal)?",¿Cómo estás?
vim3XHv49TU8,babbel,newcomer 306,very well,muy bien
WXKxK8WMauyC,babbel,newcomer 306,better,mejor
m_5iO5L0jeZo,babbel,newcomer 306,Where are you from?,¿De dónde eres?
WU0atHgUZqwl,babbel,newcomer 306,I am from Germany.,Soy de Alemania.
XqqYQRweTQRJ,babbel,newcomer 306,We are not from Cuba.,No somos de Cuba.
KYWvTWAY_8pl,babbel,newcomer 306,They are from Italy.,Ellos son de Italia.
jDBBawteojpU,babbel,newcomer 306,Their names are Ana and Eva.,Ellas se llaman Ana y Eva.
UkrsJAIEMkTa,babbel,newcomer 306,My name is Sabina.,Me llamo Sabina.
_1MvmFXD4cM_,babbel,newcomer 306,What's your name? (lit. How do you call yourself?),¿Cómo te llamas?
X1H78i0Iv_YN,babbel,newcomer 306,Are you Italian?,¿Tú eres italiano?
2iBdvGGOJOBM,babbel,newcomer 306,She is Spanish.,Ella es española.
pjDuPRnEbhzz,babbel,newcomer 306,I am German.,Yo soy alemana.
zZXb4Ula28EZ,babbel,newcomer 306,He is French.,Él es francés.
7I3xjjUnMBpC,babbel,newcomer 306,"Excuse me, do you speak English?","Perdón, ¿tú hablas inglés?"
wWDj1bXIseV1,babbel,newcomer 306,She speaks German.,Ella habla alemán.
x5imub3IzDIN,babbel,newcomer 306,That's great! (lit. How nice!),¡Qué bien!
OdBnq1RuFJoi,babbel,newcomer 306,I speak Spanish.,Yo hablo español.
6Os5GYegiXB0,babbel,newcomer 306,I'm learning Spanish.,Aprendo español.
x3cl6GJRItbg,babbel,newcomer 306,Can you repeat that?,¿Puedes repetir?
cSlYdjdcwDtW,babbel,newcomer 306,I don't understand.,No entiendo.
BzXMFRu5R-0Z,babbel,newcomer 306,I'm Claudia.,Yo soy Claudia.
5OGxiKphE4I_,babbel,newcomer 306,"Are (you) (sg., informal) Alejandro?",¿Eres Alejandro?
u5ijmyRDxyBw,babbel,newcomer 306,Daniel and Andrés are teachers.,Daniel y Andrés son profesores.
NFIf9LKcmWBT,babbel,newcomer 306,Who is he?,¿Quién es él?
rOhlKc3eGFIo,babbel,newcomer 306,"we (masc.), we (fem.)","nosotros, nosotras"
JnO4fMQ2Vbxh,babbel,newcomer 306,"you (pl., formal)",ustedes
I13OwhobGvaB,babbel,newcomer 306,"they (masc.), they (fem.)","ellos, ellas"
veKjttz2KUpT,babbel,newcomer 306,"you (masc., pl.), you (fem., pl.)","vosotros, vosotras"
8SykABB-6JGU,babbel,newcomer 306,Good morning!,¡Buenos días!
xFKN5GO-wEZ1,babbel,newcomer 306,It's a pleasure!,¡Mucho gusto!
FBEZFoR-iym8,babbel,newcomer 306,Good afternoon!,¡Buenas tardes!
6naLZ7HRnGCN,babbel,newcomer 306,See you (lit. Until) soon!,¡Hasta pronto!
pl18fpDusqJe,babbel,newcomer 306,Are you (formal) Mrs. García?,¿Usted es la señora García?
ATg0A3T21WZs,babbel,newcomer 306,I am Lucía Martínez.,Yo soy Lucía Martínez.
gpz_Cnk921BY,babbel,newcomer 306,She is Ana and he is Miguel.,Ella es Ana y él es Miguel.
5wXrzuZojkyz,babbel,newcomer 306,Are you (informal) Carla?,¿Tú eres Carla?
L6TUGWd4VgEi,babbel,newcomer 306,thank you,gracias
S6tR6qQeg2bU,babbel,newcomer 306,bye,adiós
xfEgZse9O45u,babbel,newcomer 306,yes,sí
facRfLFzYy30,babbel,newcomer 306,hello,hola
uOGp0w5kvG6F,babbel,newcomer 306,"No, I've never been there.","No, nunca he estado allí."
akOwnrlmRBmT,babbel,newcomer 306,I've never lived in Spain.,Nunca he vivido en España.
SM4nW6oQuxEN,babbel,newcomer 306,We've never made pupusas at home.,Nunca hemos hecho pupusas en casa.
7BDuMcx6KWPm,babbel,newcomer 306,"Yes, I've been there a couple of times.","Sí, he estado allí un par de veces."
J4EC-Ol-m0MH,babbel,newcomer 306,Have you ever been to Mexico?,¿Alguna vez has estado en México?
L3be5HhhfyPm,babbel,newcomer 306,"No, I haven't been there yet.","No, aún no he estado allí."
IgEvPzSRX1l8,babbel,newcomer 306,Have you ever been (lit. gone) to Cuba?,¿Alguna vez has ido a Cuba?
93KXYM-l3gLJ,babbel,newcomer 306,I haven't been to South America.,No he estado en Sudamérica.
elRxolc0iBZs,babbel,newcomer 306,I've gone out for dinner tonight.,He salido a cenar esta noche.
HF6baKTmglSd,babbel,newcomer 306,This week I haven't been (lit. gone) to the office.,Esta semana no he ido a la oficina.
lpVEdT_fUZ07,babbel,newcomer 306,"Have you (sg., formal) been to Peru?",¿Ha estado usted en Perú?
mIdVN8foGoKe,babbel,newcomer 306,"This week, Carolina and I have been to (lit. in) Cancún.","Esta semana, Carolina y yo hemos estado en Cancún."
LhmSIv5Waawb,babbel,newcomer 306,I've been to (lit. in) Lima.,He estado en Lima.
yH_Ni80cOGH-,babbel,newcomer 306,"Where have you (sg., informal) been?",¿Dónde has estado?
yrpVkMuvwx6s,babbel,newcomer 306,Pablo sometimes showers with cold water.,Pablo a veces se ducha con agua fría.
RSw3nCtdKv6b,babbel,newcomer 306,We don't wake up early.,No nos despertamos temprano.
sOxnw5o0YVRA,babbel,newcomer 306,I wake up early.,Me despierto temprano.
NJCNFYDhPNHb,babbel,newcomer 306,David gets dressed quickly.,David se viste rápido.
HP3ymsnN0Cpi,babbel,newcomer 306,We're watching TV.,Nosotras estamos viendo la televisión.
I7pTpomvRbf4,babbel,newcomer 306,I'm in pain (lit. feeling sore).,Yo me estoy sintiendo dolorido.
NOGm7gryA11w,babbel,newcomer 306,They're telling the truth.,Ellos están diciendo la verdad.
B7wve5bE5ioo,babbel,newcomer 306,You're ordering a coffee.,Vosotras estáis pidiendo un café.
YgW42D8Aa4Qx,babbel,newcomer 306,I'm doing my homework.,Yo estoy haciendo los deberes. (hacer)
qS9woCG2dHNM,babbel,newcomer 306,My dad is talking to my aunt.,Mi padre está hablando con mi tía. (hablar)
OksnOWc-r-4J,babbel,newcomer 306,We're playing a video game.,Nosotros estamos jugando a un videojuego. (jugar)
wt5tvPLH-AFG,babbel,newcomer 306,I'm eating fruit.,Yo estoy comiendo fruta. (comer)
CT2JY2YnL-aU,babbel,newcomer 306,My sister is writing an email.,Mi hermana está escribiendo un correo electrónico. (escribir)
w0un2YLRKGTh,babbel,newcomer 306,The warranty on (lit. of) this vacuum cleaner lasts more than 15 years.,La garantía de esta aspiradora dura más de quince años.
7kQsn8v9sTd3,babbel,newcomer 306,That toaster over there costs €28. I'll take it!,Aquella tostadora cuesta veintiocho euros. ¡Me la llevo!
ThV8GnSflawk,babbel,newcomer 306,These fridges cost less than €600.,Estos frigoríficos valen menos de seiscientos euros.
VdhSzu8duPR8,babbel,newcomer 306,Those coffee makers over there cost more than €30.,Aquellas cafeteras cuestan más de treinta euros.
mwybEcJR7cQj,babbel,newcomer 306,This microwave costs €72.,Este microondas vale setenta y dos euros.
RCu0uSsQwGfP,babbel,newcomer 306,These computers cost more than €400.,Estos ordenadores valen más de cuatrocientos euros.
T-1lCmv8UNA5,babbel,newcomer 306,How much does this TV cost?,¿Cuánto cuesta este televisor?
0_FRHD6zO66Z,babbel,newcomer 306,That console only costs €120.,Esa consola solo cuesta ciento veinte euros.
IRyGCD2wCis5,babbel,newcomer 306,How much do those lamps cost?,¿Cuánto cuestan esas lámparas?
biIxtBfhGtT7,babbel,newcomer 306,That fan over there costs €50.,Aquel ventilador de allí vale cincuenta euros.
hjY8m5rYhx5G,babbel,newcomer 306,The shirt is red.,La camisa es roja.
wUs0zDNm-aJs,babbel,newcomer 306,The shirt is green.,La camisa es verde.
yBstPE16nJeG,babbel,newcomer 306,The jacket is yellow.,La chaqueta es amarilla.
jCufHUEt9VOR,babbel,newcomer 306,The shoes are white.,Los zapatos son blancos.
snsuJ6GsaM4m,babbel,newcomer 306,The dress is blue.,El vestido es azul.
7PsLm1eWpNaX,babbel,newcomer 306,The pants are black.,El pantalón es negro.
ebJW8Ko42lS7,babbel,newcomer 306,The pants are gray.,El pantalón es gris.
pfPrzTmFrSJT,babbel,newcomer 306,The shoes are brown.,Los zapatos son marrones.
Pt5ztWASJRmr,babbel,newcomer 306,I can't find my black shoes. Do you have them?,No encuentro mis zapatos negros. ¿Los tienes tú?
cAj9ohFupd0v,babbel,newcomer 306,I don't want the pants. I won't buy them.,No quiero el pantalón. No lo compro.
sGZioIZlCTCL,babbel,newcomer 306,I have a new dress.,Tengo un vestido nuevo.
rJlKnJfY9Bk9,babbel,newcomer 306,I need a jacket.,Necesito una chaqueta.
-sBX-3YYkCLt,babbel,newcomer 306,The shirt is Pedro's.,La camisa es de Pedro.
bFRKyyiX85sw,babbel,newcomer 306,We have to buy a (head of) lettuce.,Tenemos que comprar una lechuga.
tNEyPPMlt7T4,babbel,newcomer 306,We need a pepper.,Necesitamos un pimiento.
rJBUgx2qWCj4,babbel,newcomer 306,I'm hot (lit. I have heat).,Tengo calor.
2nqRoOKqinrJ,babbel,newcomer 306,the Manchego cheese,el queso manchego
NDPK8xD2E6xs,babbel,newcomer 306,I want to eat pasta.,Yo quiero comer pasta.
evRM6d8bTwA1,babbel,newcomer 306,"What do you (sg., formal) want to drink?",¿Qué quiere beber?
yeJHX1T59xWq,babbel,newcomer 306,Do you want to go to the restaurant?,¿Quieres ir al restaurante?
bHXujpqdrJSs,babbel,newcomer 306,I like Mexican food.,Me gusta la comida mexicana.
EnBy7h588fd8,babbel,newcomer 306,You like fries.,Te gustan las patatas fritas.
MQAoJ-2PhAaz,babbel,newcomer 306,I don't eat meat.,No como carne.
JXOCDeVnx0O-,babbel,newcomer 306,"Could you bring us the check, please?","¿Nos trae la cuenta, por favor?"
WVhx_GGGlmcp,babbel,newcomer 306,It's a very fun party!,¡Es una fiesta muy divertida!
x1-oaHOyc3BT,babbel,newcomer 306,your cousin (masc.) and your cousin (fem.),tu primo y tu prima
zLDKhg1b_Qra,babbel,newcomer 306,How old is (lit. How many years has) your grandmother?,¿Cuántos años tiene vuestra abuela?
b2FuPqOOJktw,babbel,newcomer 306,my uncle and my aunt,mi tío y mi tía
UbWZN1Txnjbz,babbel,newcomer 306,our grandfather and our grandmother,nuestro abuelo y nuestra abuela
BOEZXbxzj_fi,babbel,newcomer 306,his grandson and his granddaughter,su nieto y su nieta
TQ9nn3ri72Gs,babbel,newcomer 306,When is his birthday?,¿Cuándo es su cumpleaños?
QChSMa_P6eZm,babbel,newcomer 306,seventy,setenta
iVaQMngJeI8M,babbel,newcomer 306,sixty,sesenta
T--acJ5jjJ3s,babbel,newcomer 306,one hundred,cien
Lrbc7AkRtsae,babbel,newcomer 306,eighty,ochenta
ybbWCstwnkVF,babbel,newcomer 306,forty,cuarenta
zlDsDUhdjmHd,babbel,newcomer 306,thirty,treinta
9ohBd5rZTsxH,babbel,newcomer 306,fifty,cincuenta
LxjmQzpD1B33,babbel,newcomer 306,ninety,noventa
sYHsCxQkmVt8,babbel,newcomer 306,"your (sg., informal) daughter",tu hija
91K8KsVwFxF9,babbel,newcomer 306,my wife,mi esposa
gkBlahn9Wriq,babbel,newcomer 306,"This Saturday, my sister is coming.",Este sábado viene mi hermana.
9wBWIYRKWZLj,babbel,newcomer 306,"your (pl., informal) mother",vuestra madre
3xakL9-gTU0P,babbel,newcomer 306,Does he live with his mother?,¿Vive con su madre?
8E0vIvAVKW14,babbel,newcomer 306,our father,nuestro padre
-ynpPwBQf474,babbel,newcomer 306,his/her/their/your (formal) brother,su hermano
iLU608Qs0xiw,babbel,newcomer 306,Our son is eight years old.,Nuestro hijo tiene ocho años.
9PFPjxCZl57t,babbel,newcomer 306,Let's go to the museum.,Vamos al museo.
r5yt-K6b16BJ,babbel,newcomer 306,Do you want to go to the movies?,¿Quieres ir al cine?
Q-FebvSEvNHU,babbel,newcomer 306,I want to go to the zoo.,Quiero ir al zoológico.
ybhRlFQPJ5eu,babbel,newcomer 306,We could go to the park.,Podemos ir al parque.
QP5n6t1mk6VE,babbel,newcomer 306,What plans do you have?,¿Qué planes tienes?
xABJT2Fvr6_7,babbel,newcomer 306,At five in the afternoon…,A las cinco de la tarde…
k0PvEWMoNHN4,babbel,newcomer 306,We're meeting up with…,Quedamos con…
R9k5Rva5RFvU,babbel,newcomer 306,At what time?,¿A qué hora?
qfnVUU-avxCC,babbel,newcomer 306,fourteen,catorce
WBSTs22ZWjdD,babbel,newcomer 306,nineteen,diecinueve
mIdGTkbBpgkd,babbel,newcomer 306,twelve,doce
GQsLrcYr5-cj,babbel,newcomer 306,eighteen,dieciocho
epXC2PgS1Ngp,babbel,newcomer 306,fifteen,quince
sbbSPWqgMbtd,babbel,newcomer 306,twenty,veinte
uDYKmiv-bCGw,babbel,newcomer 306,seventeen,diecisiete
lUyhtRzXYby_,babbel,newcomer 306,sixteen,dieciséis
1rWbEj1sVlry,babbel,newcomer 306,thirteen,trece
wGSw_qxVOAFC,babbel,newcomer 306,eleven,once
pYTh8LsDNJvB,babbel,newcomer 306,"Today, (he) can't go out at night.",Hoy no puede salir por la noche.
umqLqbbCzzDT,babbel,newcomer 306,We will see each other on Saturday.,Nos vemos el sábado.
rQBLYHYxw2y-,babbel,newcomer 306,On the weekend (they) play tennis.,El fin de semana juegan al tenis.
XSfOPzD1Ig6S,babbel,newcomer 306,I have class in the morning.,Tengo clase por la mañana.
Av_hblGNbV81,babbel,newcomer 306,on Friday,el viernes
mAve3bMEHyKz,babbel,newcomer 306,on Wednesday,el miércoles
waGzjIaOp6x3,babbel,newcomer 306,on Saturday,el sábado
G1-pbH_0Umuv,babbel,newcomer 306,on Sunday,el domingo
1-reXZ_SN4mL,babbel,newcomer 306,the week,la semana
AZVOW7GZnNCX,babbel,newcomer 306,on Thursday,el jueves
P88PXtsbglED,babbel,newcomer 306,on Monday,el lunes
VSzQG8V2wG3r,babbel,newcomer 306,on Tuesday,el martes
CnrVTuWlawv6,babbel,newcomer 306,I don't drink coffee.,No bebo café.
0-Vw2SqK085L,babbel,newcomer 306,They also live there.,Ellos también viven ahí.
pfljB55eZoci,babbel,newcomer 306,"Where do you (sg., informal) live?",¿Dónde vives?
X32p8pLcxIHq,babbel,newcomer 306,Shall we drink something?,¿Bebemos algo?
L5MafmCvvD79,babbel,newcomer 306,We speak a lot.,Hablamos mucho.
8XBeu78GXW1t,babbel,newcomer 306,You ask (too) many things.,Tú preguntas muchas cosas.
piTYgSmJZC-U,babbel,newcomer 306,Does she dance salsa?,¿Ella baila salsa?
aLTiZWe2We4V,babbel,newcomer 306,Are you married (fem.)?,¿Estás casada?
ZyVZzAqWom3Q,babbel,newcomer 306,I'm single (masc.).,Estoy soltero.
ctmrdfh3Gk4D,babbel,newcomer 306,Do you have (a) boyfriend?,¿Tienes novio?
LKrdvAMpAf5C,babbel,newcomer 306,He's divorced.,Él está divorciado.
LmM5E8wu72Pc,babbel,newcomer 306,I've seen this square on the map.,He visto esta plaza en el mapa.
XA24WqWVgf33,babbel,newcomer 306,Take (lit. Drink) this prescribed syrup three times a day.,Beba este jarabe recetado tres veces al día.
_NSWB7atAm-E,babbel,newcomer 306,Rest and don't exercise.,Descanse y no haga ejercicio.
gaQ6e5eKWT0O,babbel,newcomer 306,Take these pills for the pain.,Tome estas pastillas para el dolor.
RLP6dRWtFdvS,babbel,newcomer 306,Buy these medications at the pharmacy.,Compre estos medicamentos en la farmacia.
Fb85__1zCoG3,babbel,newcomer 306,I have (a) fever.,Tengo fiebre.
ozPE5mkeTFHr,babbel,newcomer 306,I'm not feeling well (lit. I have discomfort).,Tengo malestar.
Aeg_9mbKK7us,babbel,newcomer 306,I have pain in my legs.,Tengo dolor de piernas.
wTDS_7_5DRMZ,babbel,newcomer 306,I have (a) cough.,Tengo tos.
I5-6tothheE7,babbel,newcomer 306,My legs hurt.,Me duelen las piernas.
F0x7us5TyAWf,babbel,newcomer 306,My head hurts.,Me duele la cabeza.
JkRMgWF9MouA,babbel,newcomer 306,My chest hurts.,Me duele el pecho.
k48HY_3yp-uv,babbel,newcomer 306,My feet hurt.,Me duelen los pies.
n7eOGSJg_EQf,babbel,newcomer 306,Gabriela rarely plays (lit. touches) the piano in the afternoons.,Gabriela raramente toca el piano por la tarde.
t2abh3jk58bV,babbel,newcomer 306,Do you often swim on Wednesdays?,¿Tú a menudo nadas los miércoles?
IXzq-W5gieRI,babbel,newcomer 306,I always wake up early on Sundays.,Yo siempre me despierto temprano los domingos.
cGrY8ur6blhb,babbel,newcomer 306,We wake (ourselves) up.,Nosotras nos despertamos.
-ZstEvAWTucY,babbel,newcomer 306,You go to bed (lit. lay yourselves down).,Vosotros os acostáis.
1grzx4FhVzZc,babbel,newcomer 306,The bathroom is bright.,El baño es luminoso.
LkvdSN1JfNFF,babbel,newcomer 306,The living room is comfortable.,La sala de estar es cómoda.
oJjTWqppJbMs,babbel,newcomer 306,The kitchen is big.,La cocina es grande.
ksxFBN3GXjJ2,babbel,newcomer 306,It's currently (lit. making) cold.,Está haciendo frío.
CcZEfZCRIQax,babbel,newcomer 306,Are you preparing (for) our trip?,¿Estás preparando nuestro viaje?
MAn-PPGsmDb5,babbel,newcomer 306,It's not raining.,No está lloviendo.
qoOr31nBiQw6,babbel,newcomer 306,It's going to rain.,Va a llover.
BSwarwuP-tK3,babbel,newcomer 306,It's cold.,Hace frío.
DhV-ci0pp_z2,babbel,newcomer 306,It's sunny.,Hace sol.
2QXvmAPMVVvb,babbel,newcomer 306,That closet there is big.,Ese armario de ahí es grande.
VmoNfrP6x8Q9,babbel,newcomer 306,This chair here is made of wood.,Esta silla de aquí es de madera.
cciWyXlTx_fS,babbel,newcomer 306,That window over there is broken.,Aquella ventana de allí está rota.
B5zMyNZJLtlQ,babbel,newcomer 306,The square is in front of the station.,La plaza está delante de la estación.
tRSCkPo9n6tw,babbel,newcomer 306,The store is between the school and the pharmacy.,La tienda está entre el colegio y la farmacia.
KCnZCLuRKL8r,babbel,newcomer 306,The bakery is behind the park.,La panadería está detrás del parque.
LV7eHVYkwdta,babbel,newcomer 306,The station is next to the hospital.,La estación está al lado del hospital.
ryBUcJtuWsDk,babbel,newcomer 306,I'm from Montevideo.,Yo soy de Montevideo.
OJaJ867hYqad,babbel,newcomer 306,Málaga is close to Granada.,Málaga está cerca de Granada.
DkOU64cqzCe5,babbel,newcomer 306,There is a square in my city.,En mi ciudad hay una plaza.
nC8c-_JhLcyl,babbel,newcomer 306,You're in Oviedo.,Tú estás en Oviedo.
2CnyT3r-CBPU,babbel,newcomer 306,Chile is far from Spain.,Chile está lejos de España.
pPIVHFFqwWBg,babbel,newcomer 306,crosswalk,paso de peatones
USXk6Utt9XrB,babbel,newcomer 306,danger,peligro
MyRF8urv-bYJ,babbel,newcomer 306,You can't smoke.,No se puede fumar.
Vfd8AZ2_oc-7,babbel,newcomer 306,no noise,prohibido hacer ruido
7oHyGHkVmebn,babbel,newcomer 306,bike path,carril bici
Fi54Nb1scagY,babbel,newcomer 306,emergency exit,salida de emergencia
RrUTudZ7k3zL,babbel,newcomer 306,You can't park (here).,No se puede aparcar.
4xDLssxdlWRD,babbel,newcomer 306,restrooms,baños
9hI9IairlZ4t,babbel,newcomer 306,the fried potatoes with spicy sauce,las patatas bravas
B9sjSGDyikCW,babbel,newcomer 306,the croquettes,las croquetas
mw9WGwa8Wcu5,babbel,newcomer 306,the Iberian cured ham,el jamón serrano
_IdZWp5F1WmO,babbel,newcomer 306,We don't want to eat too much meat.,No queremos comer demasiada carne.
v23lSyKCyz2Y,babbel,newcomer 306,Are you coming with your husband?,¿Vienes con tu marido?
